x,Cp
1,0.17809
0.9957,0.16229
0.98872,0.14813
0.98103,0.13327
0.97249,0.11856
0.96301,0.10332
0.95258,0.08706
0.94135,0.06916
0.93003,0.05079
0.91879,0.03309
0.90745,0.01509
0.89599,-0.00265
0.8846,-0.01958
0.87322,-0.03674
0.8618,-0.05317
0.85033,-0.06987
0.83883,-0.08695
0.82733,-0.10365
0.81584,-0.12044
0.80438,-0.13723
0.79295,-0.1537
0.78152,-0.16979
0.7701,-0.18617
0.75868,-0.20171
0.74725,-0.21807
0.73583,-0.23423
0.72441,-0.2502
0.713,-0.26603
0.7016,-0.28244
0.69021,-0.29769
0.67882,-0.31321
0.66742,-0.32875
0.65603,-0.34419
0.64463,-0.35931
0.63324,-0.37485
0.62186,-0.3904
0.61049,-0.40549
0.59912,-0.42068
0.58775,-0.43591
0.57638,-0.4501
0.56501,-0.46471
0.55364,-0.47936
0.54229,-0.49387
0.53096,-0.50811
0.51965,-0.52219
0.50835,-0.5349
0.49707,-0.54619
0.48579,-0.5549
0.47449,-0.56244
0.46318,-0.5692
0.45184,-0.57451
0.44049,-0.58053
0.42914,-0.58576
0.41778,-0.59067
0.40642,-0.5958
0.39506,-0.59935
0.3837,-0.60293
0.37232,-0.60592
0.36094,-0.61061
0.34954,-0.61279
0.33815,-0.61798
0.32676,-0.62197
0.31537,-0.62735
0.304,-0.63187
0.29263,-0.63759
0.28127,-0.64342
0.26992,-0.64776
0.25858,-0.65481
0.24725,-0.65988
0.23593,-0.66647
0.22462,-0.67242
0.21333,-0.67972
0.20204,-0.6868
0.19077,-0.69476
0.17951,-0.70412
0.16827,-0.71378
0.15706,-0.72461
0.14589,-0.73669
0.13478,-0.75032
0.12375,-0.76577
0.11278,-0.78152
0.10186,-0.7998
0.09096,-0.81999
0.08007,-0.84513
0.06938,-0.87909
0.0591,-0.92088
0.04915,-0.96639
0.03931,-1.00878
0.02994,-1.07278
0.02211,-1.31071
0.01616,-1.57779
0.01184,-1.72194
0.00866,-1.89143
0.00625,-2.08808
0.00437,-2.25658
0.00288,-2.18092
0.00175,-2.04628
0.00093,-1.88636
0.00038,-1.64729
0.00006,-1.31376
-0.00002,-0.82125
0.00015,-0.18807
0.00058,0.34603
0.00125,0.71325
0.00221,0.91049
0.00349,0.99194
0.00517,0.99152
0.00726,0.93895
0.00987,0.87064
0.0133,0.79104
0.01798,0.71014
0.02448,0.64042
0.03295,0.56993
0.04286,0.49874
0.05315,0.44218
0.06358,0.39788
0.07437,0.36214
0.08547,0.33016
0.09666,0.29938
0.10782,0.27419
0.11899,0.25224
0.13019,0.23212
0.14147,0.2149
0.15281,0.19858
0.1642,0.18328
0.1756,0.16911
0.18701,0.15539
0.19841,0.14299
0.20981,0.13121
0.22122,0.12011
0.23264,0.11054
0.24408,0.10052
0.25552,0.09165
0.26697,0.08282
0.27843,0.07473
0.28988,0.06641
0.30134,0.05889
0.3128,0.05162
0.32426,0.04449
0.33573,0.03856
0.3472,0.031
0.35867,0.02496
0.37013,0.01818
0.38158,0.01228
0.39302,0.0064
0.40445,0.00081
0.41588,-0.0042
0.4273,-0.00902
0.43872,-0.01255
0.45014,-0.01656
0.46154,-0.02024
0.47292,-0.02242
0.48428,-0.02454
0.49563,-0.02555
0.50697,-0.02468
0.51833,-0.02252
0.5297,-0.01974
0.5411,-0.01593
0.55252,-0.01159
0.56395,-0.00746
0.5754,-0.00295
0.58685,0.00171
0.5983,0.0068
0.60976,0.01189
0.62122,0.01719
0.63269,0.02264
0.64417,0.02826
0.65565,0.03413
0.66714,0.03978
0.67864,0.04573
0.69014,0.05147
0.70165,0.0574
0.71317,0.06302
0.7247,0.06853
0.73624,0.07378
0.7478,0.07865
0.75937,0.08315
0.77094,0.08718
0.7825,0.09024
0.79407,0.10224
0.80562,0.13661
0.81714,0.15247
0.82864,0.15912
0.84011,0.16517
0.85154,0.17004
0.86294,0.1749
0.87431,0.17976
0.88567,0.18569
0.89706,0.19193
0.90852,0.20166
0.92007,0.21295
0.93159,0.2219
0.94287,0.22911
0.95362,0.23135
0.96362,0.22702
0.97277,0.21928
0.98111,0.20674
0.98872,0.19295
0.99567,0.16325
1,0.17809
