  
       XFOIL         Version 6.99
  
 Calculated polar for: DAE11                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.129 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000   0.2027   0.00748   0.00264  -0.1246   0.6177   0.0106
  -2.000   0.4360   0.00637   0.00135  -0.1263   0.6004   0.0146
   0.000   0.6701   0.00574   0.00088  -0.1285   0.5842   0.0683
   1.000   0.7858   0.00531   0.00091  -0.1297   0.5706   0.2818
   2.000   0.9000   0.00485   0.00111  -0.1309   0.5538   0.6168
   4.000   1.1279   0.00472   0.00159  -0.1328   0.5126   1.0000
   5.000   1.2392   0.00524   0.00195  -0.1335   0.4794   1.0000
   6.000   1.3477   0.00589   0.00246  -0.1339   0.4401   1.0000
   7.000   1.4488   0.00696   0.00327  -0.1332   0.3791   1.0000
   8.000   1.5381   0.00851   0.00446  -0.1308   0.3044   1.0000
   9.000   1.6062   0.01052   0.00610  -0.1249   0.2307   1.0000
  10.000   1.6062   0.01381   0.00919  -0.1085   0.1761   1.0000
  11.000   1.6176   0.01909   0.01428  -0.0988   0.1251   1.0000
  12.000   1.6357   0.02510   0.02014  -0.0919   0.0850   1.0000
  13.000   1.6515   0.03203   0.02696  -0.0863   0.0539   1.0000
  14.000   1.6711   0.03881   0.03371  -0.0812   0.0353   1.0000
  15.000   1.6889   0.04612   0.04103  -0.0768   0.0236   1.0000
  16.000   1.7069   0.05411   0.04908  -0.0736   0.0160   1.0000
  17.000   1.7192   0.06359   0.05868  -0.0718   0.0109   1.0000
  18.000   1.7322   0.07380   0.06904  -0.0715   0.0084   1.0000
  19.000   1.7428   0.08492   0.08033  -0.0724   0.0065   1.0000
  20.000   1.7454   0.09782   0.09343  -0.0747   0.0051   1.0000
  21.000   1.7393   0.11264   0.10851  -0.0789   0.0042   1.0000
  22.000   1.7357   0.12731   0.12340  -0.0841   0.0037   1.0000
  23.000   1.7165   0.14489   0.14124  -0.0918   0.0030   1.0000
  24.000   1.6923   0.16334   0.15999  -0.1014   0.0023   1.0000
  25.000   1.6798   0.17969   0.17660  -0.1109   0.0022   1.0000
