  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.129 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0170   0.00580   0.00092  -0.0525   0.6473   0.1794
  -1.000   0.1297   0.00562   0.00081  -0.0526   0.5829   0.2678
   0.000   0.2424   0.00545   0.00079  -0.0527   0.5232   0.3857
   1.000   0.3542   0.00519   0.00086  -0.0528   0.4711   0.5687
   2.000   0.4659   0.00507   0.00102  -0.0527   0.4226   0.7319
   3.000   0.5741   0.00516   0.00130  -0.0518   0.3599   0.8843
   4.000   0.6777   0.00569   0.00171  -0.0497   0.2800   0.9758
   5.000   0.8041   0.00673   0.00231  -0.0534   0.1821   0.9974
   7.000   1.0094   0.00888   0.00381  -0.0505   0.0624   1.0000
   8.000   1.1103   0.00992   0.00469  -0.0487   0.0400   1.0000
   9.000   1.2104   0.01100   0.00568  -0.0470   0.0283   1.0000
  10.000   1.3086   0.01213   0.00678  -0.0451   0.0221   1.0000
  11.000   1.4025   0.01341   0.00806  -0.0426   0.0179   1.0000
  12.000   1.4907   0.01486   0.00955  -0.0394   0.0150   1.0000
  13.000   1.5660   0.01662   0.01136  -0.0341   0.0128   1.0000
  14.000   1.6289   0.01860   0.01344  -0.0274   0.0116   1.0000
  15.000   1.6785   0.02164   0.01661  -0.0203   0.0102   1.0000
  16.000   1.7247   0.02538   0.02052  -0.0147   0.0096   1.0000
  17.000   1.7554   0.03100   0.02632  -0.0101   0.0089   1.0000
  18.000   1.7597   0.04017   0.03577  -0.0073   0.0080   1.0000
  19.000   1.7585   0.05139   0.04728  -0.0076   0.0078   1.0000
  20.000   1.7350   0.06663   0.06283  -0.0108   0.0076   1.0000
  21.000   1.6845   0.08670   0.08328  -0.0171   0.0074   1.0000
  22.000   1.6086   0.11191   0.10890  -0.0273   0.0073   1.0000
  23.000   1.5118   0.14257   0.14002  -0.0428   0.0072   1.0000
  24.000   1.4154   0.17625   0.17414  -0.0636   0.0071   1.0000
  25.000   1.3255   0.21340   0.21171  -0.0897   0.0069   1.0000
