  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.129 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0066   0.00704   0.00141  -0.0589   0.5361   0.0449
  -1.000   0.1181   0.00720   0.00128  -0.0586   0.4356   0.0574
   0.000   0.2280   0.00766   0.00132  -0.0581   0.3079   0.0712
   1.000   0.3354   0.00853   0.00164  -0.0572   0.1491   0.0828
   2.000   0.4472   0.00895   0.00190  -0.0571   0.1121   0.0908
   3.000   0.5599   0.00916   0.00209  -0.0571   0.1085   0.0965
   4.000   0.6719   0.00934   0.00227  -0.0572   0.1070   0.1024
   5.000   0.7823   0.00930   0.00262  -0.0572   0.1061   0.3010
   6.000   0.8869   0.00846   0.00318  -0.0565   0.1058   0.8741
   7.000   1.0016   0.00878   0.00375  -0.0574   0.1057   1.0000
   8.000   1.1083   0.00928   0.00423  -0.0569   0.1042   1.0000
   9.000   1.2139   0.00989   0.00482  -0.0563   0.1015   1.0000
  10.000   1.3191   0.01047   0.00542  -0.0559   0.0984   1.0000
  11.000   1.4217   0.01118   0.00610  -0.0551   0.0912   1.0000
  12.000   1.4976   0.01371   0.00829  -0.0503   0.0346   1.0000
  13.000   1.5784   0.01546   0.01000  -0.0465   0.0231   1.0000
  14.000   1.6437   0.01736   0.01193  -0.0402   0.0177   1.0000
  15.000   1.7018   0.01978   0.01443  -0.0340   0.0145   1.0000
  16.000   1.7506   0.02309   0.01785  -0.0281   0.0122   1.0000
  17.000   1.7888   0.02771   0.02263  -0.0232   0.0107   1.0000
  18.000   1.8124   0.03437   0.02949  -0.0198   0.0095   1.0000
  19.000   1.8169   0.04401   0.03938  -0.0184   0.0087   1.0000
  20.000   1.7989   0.05774   0.05343  -0.0201   0.0081   1.0000
  21.000   1.7495   0.07703   0.07309  -0.0252   0.0077   1.0000
  22.000   1.6540   0.10465   0.10119  -0.0351   0.0075   1.0000
  23.000   1.5200   0.14130   0.13842  -0.0523   0.0076   1.0000
  24.000   1.4211   0.17514   0.17268  -0.0728   0.0076   1.0000
  25.000   1.3896   0.19729   0.19503  -0.0886   0.0071   1.0000
