  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.129 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -6.000   1.0244   0.00710   0.00350  -0.3205   0.8482   0.1538
  -2.000   1.1049   0.01923   0.01485  -0.2478   0.5330   0.3494
  -1.000   1.2016   0.01976   0.01541  -0.2451   0.4797   0.5036
   1.000   1.3889   0.02098   0.01641  -0.2382   0.3820   0.6464
   2.000   1.4768   0.02171   0.01680  -0.2336   0.3066   0.6747
   3.000   1.5579   0.02278   0.01737  -0.2277   0.2086   0.6986
   4.000   1.6321   0.02445   0.01849  -0.2208   0.1097   0.7179
   5.000   1.7045   0.02640   0.02014  -0.2137   0.0569   0.7304
   6.000   1.7751   0.02848   0.02211  -0.2066   0.0344   0.7390
   7.000   1.8413   0.03080   0.02442  -0.1989   0.0243   0.7462
   8.000   1.9015   0.03352   0.02717  -0.1905   0.0185   0.7525
   9.000   1.9545   0.03672   0.03044  -0.1814   0.0150   0.7578
  10.000   2.0001   0.04053   0.03436  -0.1716   0.0126   0.7617
  11.000   2.0374   0.04513   0.03908  -0.1614   0.0108   0.7654
  12.000   2.0644   0.05085   0.04497  -0.1509   0.0095   0.7688
  13.000   2.0788   0.05837   0.05269  -0.1408   0.0084   0.7707
  14.000   2.0873   0.06738   0.06193  -0.1325   0.0078   0.7732
  15.000   2.0761   0.07945   0.07427  -0.1258   0.0070   0.7763
  16.000   2.0639   0.09219   0.08731  -0.1219   0.0067   0.7774
  17.000   2.0424   0.10661   0.10204  -0.1206   0.0063   0.7786
  18.000   2.0135   0.12258   0.11831  -0.1223   0.0059   0.7801
  19.000   1.9905   0.13795   0.13398  -0.1264   0.0056   0.7819
  20.000   1.9675   0.15368   0.15001  -0.1331   0.0054   0.7838
  21.000   1.9443   0.16973   0.16633  -0.1421   0.0051   0.7851
  22.000   1.9143   0.18744   0.18434  -0.1545   0.0048   0.7860
  23.000   1.8709   0.20862   0.20588  -0.1720   0.0046   0.7869
  24.000   1.8377   0.22835   0.22594  -0.1902   0.0045   0.7880
  25.000   1.7951   0.25121   0.24915  -0.2130   0.0044   0.7889
