  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.129 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -6.000   0.7677   0.01361   0.00943  -0.2742   0.6978   0.0297
  -4.000   0.8499   0.01890   0.01342  -0.2479   0.4293   0.0373
  -2.000   1.0293   0.02022   0.01310  -0.2394   0.0901   0.0551
   0.000   1.2275   0.02160   0.01441  -0.2348   0.0873   0.0762
   1.000   1.3230   0.02243   0.01523  -0.2320   0.0864   0.0852
   2.000   1.4160   0.02336   0.01617  -0.2287   0.0859   0.0910
   3.000   1.5068   0.02440   0.01722  -0.2252   0.0858   0.0957
   4.000   1.5944   0.02559   0.01844  -0.2213   0.0857   0.1002
   5.000   1.6792   0.02690   0.01981  -0.2171   0.0856   0.1056
   6.000   1.7608   0.02836   0.02134  -0.2124   0.0855   0.1137
   7.000   1.8450   0.02993   0.02364  -0.2089   0.0855   0.6715
   8.000   1.9183   0.03179   0.02562  -0.2032   0.0849   0.7182
   9.000   1.9891   0.03377   0.02769  -0.1973   0.0835   0.7362
  10.000   2.0487   0.03646   0.03046  -0.1900   0.0814   0.7481
  11.000   2.1130   0.03885   0.03295  -0.1837   0.0795   0.7566
  12.000   2.1697   0.04176   0.03595  -0.1767   0.0757   0.7631
  13.000   2.1397   0.05185   0.04586  -0.1594   0.0281   0.7673
  14.000   2.1412   0.06071   0.05485  -0.1491   0.0180   0.7703
  16.000   2.1299   0.08261   0.07717  -0.1357   0.0106   0.7760
  18.000   2.0865   0.11059   0.10571  -0.1319   0.0078   0.7795
  19.000   2.0591   0.12604   0.12145  -0.1341   0.0068   0.7808
  20.000   2.0322   0.14173   0.13744  -0.1390   0.0060   0.7831
  21.000   1.9972   0.15924   0.15526  -0.1473   0.0055   0.7844
  22.000   1.9591   0.17781   0.17417  -0.1587   0.0052   0.7856
  23.000   1.9000   0.20128   0.19805  -0.1763   0.0048   0.7863
  24.000   1.8119   0.23275   0.23004  -0.2035   0.0048   0.7866
