  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA4412                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.129 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -6.000  -0.1664   0.00687   0.00216  -0.1090   0.8061   0.0301
  -4.000   0.0380   0.00628   0.00129  -0.1040   0.7102   0.0461
  -2.000   0.2443   0.00597   0.00090  -0.0996   0.6139   0.1024
   0.000   0.4496   0.00584   0.00087  -0.0951   0.5233   0.2385
   2.000   0.6489   0.00550   0.00115  -0.0897   0.4570   0.5786
   3.000   0.8047   0.00521   0.00163  -0.1000   0.4115   0.9768
   4.000   0.9368   0.00597   0.00208  -0.1048   0.3447   0.9976
   5.000   1.0520   0.00682   0.00260  -0.1061   0.2749   1.0000
   6.000   1.1252   0.00798   0.00335  -0.0983   0.1914   1.0000
   7.000   1.1919   0.00937   0.00433  -0.0895   0.1107   1.0000
   8.000   1.2547   0.01076   0.00543  -0.0800   0.0609   1.0000
   9.000   1.3242   0.01194   0.00651  -0.0723   0.0407   1.0000
  10.000   1.3968   0.01318   0.00773  -0.0658   0.0327   1.0000
  11.000   1.4687   0.01450   0.00910  -0.0597   0.0296   1.0000
  12.000   1.5311   0.01636   0.01099  -0.0528   0.0245   1.0000
  13.000   1.5941   0.01833   0.01304  -0.0468   0.0226   1.0000
  14.000   1.6396   0.02152   0.01626  -0.0397   0.0166   1.0000
  15.000   1.6746   0.02585   0.02068  -0.0330   0.0122   1.0000
  16.000   1.6963   0.03186   0.02682  -0.0271   0.0090   1.0000
  17.000   1.7196   0.03861   0.03376  -0.0234   0.0084   1.0000
  18.000   1.7223   0.04820   0.04356  -0.0209   0.0073   1.0000
  19.000   1.7069   0.06081   0.05645  -0.0204   0.0059   1.0000
  20.000   1.6925   0.07429   0.07020  -0.0219   0.0058   1.0000
  21.000   1.6675   0.08965   0.08585  -0.0251   0.0056   1.0000
  22.000   1.6327   0.10715   0.10366  -0.0302   0.0054   1.0000
  23.000   1.5878   0.12662   0.12344  -0.0376   0.0051   1.0000
  24.000   1.5319   0.14905   0.14622  -0.0484   0.0049   1.0000
  25.000   1.4709   0.17337   0.17088  -0.0622   0.0047   1.0000
